CustomerID,period,TotalPrice,sales_1,sales_2,sales_3,sales_4,sales_5,sales_6,n_sales_last_6_m
12347,201101,475.39,711.79,,,,,,1
12348,201101,227.43999999999997,892.8000000000001,,,,,,1
12370,201101,,1868.02,,,,,,1
12377,201101,626.6,1001.5199999999996,,,,,,1
12383,201101,639.9099999999999,600.72,,,,,,1
12386,201101,143.0,258.90000000000003,,,,,,1
12395,201101,-2.95,679.92,,,,,,1
12417,201101,291.48999999999995,291.34,,,,,,1
12423,201101,,237.93,,,,,,1
12427,201101,,246.55000000000007,,,,,,1
12429,201101,,1281.5000000000002,,,,,,1
12431,201101,384.6799999999999,773.9499999999999,,,,,,1
12433,201101,,3787.1199999999994,,,,,,1
12434,201101,,-27.749999999999996,,,,,,1
12441,201101,,173.55,,,,,,1
12471,201101,587.7499999999999,3556.7100000000005,,,,,,1
12472,201101,825.3599999999999,1509.0000000000005,,,,,,1
12474,201101,599.8,-34.0,,,,,,1
12476,201101,549.58,-12.45,,,,,,1
12481,201101,603.09,791.3399999999999,,,,,,1
12494,201101,-10.95,48.74999999999999,,,,,,1
12515,201101,,383.7,,,,,,1
12540,201101,1081.4799999999998,881.0099999999999,,,,,,1
12551,201101,,168.0,,,,,,1
12557,201101,3417.12,620.0,,,,,,1
12567,201101,,1942.3799999999997,,,,,,1
12577,201101,,195.89,,,,,,1
12583,201101,730.1600000000001,855.86,,,,,,1
12585,201101,-56.040000000000006,1262.85,,,,,,1
12586,201101,,-17.0,,,,,,1
12600,201101,,274.8,,,,,,1
12605,201101,,-7.5,,,,,,1
12621,201101,,1372.1,,,,,,1
12647,201101,,1140.6999999999998,,,,,,1
12649,201101,,-19.799999999999997,,,,,,1
12662,201101,,261.48,,,,,,1
12666,201101,,-227.44,,,,,,1
12668,201101,1009.7999999999998,469.87,,,,,,1
12678,201101,,221.27999999999997,,,,,,1
12681,201101,2951.669999999999,2118.1100000000006,,,,,,1
12682,201101,835.1100000000001,1075.29,,,,,,1
12683,201101,677.39,1063.08,,,,,,1
12686,201101,,89.14,,,,,,1
12691,201101,226.2,180.0,,,,,,1
12705,201101,,858.0,,,,,,1
12708,201101,284.62,196.44,,,,,,1
12709,201101,1022.4399999999998,1315.69,,,,,,1
12712,201101,250.65000000000003,457.88,,,,,,1
12720,201101,279.3,639.1299999999997,,,,,,1
